sample_id,biological_group_id,study_id,injury_label,condition,timepoint,sex,rep,modality,n_cells
GSM9256214_D0_F1,GSM9256214_D0_F1,GSE308914,0,Reference,D0,F,1,scRNA-seq_pseudobulk,526912
GSM9256215_D0_F2,GSM9256215_D0_F2,GSE308914,0,Reference,D0,F,2,scRNA-seq_pseudobulk,533321
GSM9256216_D0_F3,GSM9256216_D0_F3,GSE308914,0,Reference,D0,F,3,scRNA-seq_pseudobulk,531099
GSM9256217_D0_M1,GSM9256217_D0_M1,GSE308914,0,Reference,D0,M,1,scRNA-seq_pseudobulk,541680
GSM9256218_D0_M2,GSM9256218_D0_M2,GSE308914,0,Reference,D0,M,2,scRNA-seq_pseudobulk,475808
GSM9256219_D0_M3,GSM9256219_D0_M3,GSE308914,0,Reference,D0,M,3,scRNA-seq_pseudobulk,469609
GSM9256220_D1_F1,GSM9256220_D1_F1,GSE308914,1,MI,D1,F,1,scRNA-seq_pseudobulk,519874
GSM9256221_D1_F2,GSM9256221_D1_F2,GSE308914,1,MI,D1,F,2,scRNA-seq_pseudobulk,493532
GSM9256222_D1_F3,GSM9256222_D1_F3,GSE308914,1,MI,D1,F,3,scRNA-seq_pseudobulk,530705
GSM9256223_D1_M1,GSM9256223_D1_M1,GSE308914,1,MI,D1,M,1,scRNA-seq_pseudobulk,380402
GSM9256224_D1_M2,GSM9256224_D1_M2,GSE308914,1,MI,D1,M,2,scRNA-seq_pseudobulk,444189
GSM9256225_D1_M3,GSM9256225_D1_M3,GSE308914,1,MI,D1,M,3,scRNA-seq_pseudobulk,448014
GSM9256226_D4_F1,GSM9256226_D4_F1,GSE308914,1,MI,D4,F,1,scRNA-seq_pseudobulk,578858
GSM9256227_D4_F2,GSM9256227_D4_F2,GSE308914,1,MI,D4,F,2,scRNA-seq_pseudobulk,544126
GSM9256228_D4_F3,GSM9256228_D4_F3,GSE308914,1,MI,D4,F,3,scRNA-seq_pseudobulk,564574
GSM9256229_D4_M1,GSM9256229_D4_M1,GSE308914,1,MI,D4,M,1,scRNA-seq_pseudobulk,556721
GSM9256230_D4_M2,GSM9256230_D4_M2,GSE308914,1,MI,D4,M,2,scRNA-seq_pseudobulk,619160
GSM9256231_D4_M3,GSM9256231_D4_M3,GSE308914,1,MI,D4,M,3,scRNA-seq_pseudobulk,496700
GSM9256232_D7_F1,GSM9256232_D7_F1,GSE308914,1,MI,D7,F,1,scRNA-seq_pseudobulk,589537
GSM9256233_D7_F2,GSM9256233_D7_F2,GSE308914,1,MI,D7,F,2,scRNA-seq_pseudobulk,579803
GSM9256234_D7_F3,GSM9256234_D7_F3,GSE308914,1,MI,D7,F,3,scRNA-seq_pseudobulk,619543
GSM9256235_D7_M1,GSM9256235_D7_M1,GSE308914,1,MI,D7,M,1,scRNA-seq_pseudobulk,610179
GSM9256236_D7_M2,GSM9256236_D7_M2,GSE308914,1,MI,D7,M,2,scRNA-seq_pseudobulk,591507
GSM9256237_D7_M3,GSM9256237_D7_M3,GSE308914,1,MI,D7,M,3,scRNA-seq_pseudobulk,617675
GSM9256238_D28_F1,GSM9256238_D28_F1,GSE308914,1,MI,D28,F,1,scRNA-seq_pseudobulk,595297
GSM9256239_D28_F2,GSM9256239_D28_F2,GSE308914,1,MI,D28,F,2,scRNA-seq_pseudobulk,565479
GSM9256240_D28_F3,GSM9256240_D28_F3,GSE308914,1,MI,D28,F,3,scRNA-seq_pseudobulk,566093
GSM9256241_D28_M1,GSM9256241_D28_M1,GSE308914,1,MI,D28,M,1,scRNA-seq_pseudobulk,540494
GSM9256242_D28_M2,GSM9256242_D28_M2,GSE308914,1,MI,D28,M,2,scRNA-seq_pseudobulk,545508
GSM9256243_D28_M3,GSM9256243_D28_M3,GSE308914,1,MI,D28,M,3,scRNA-seq_pseudobulk,556531
